,2020
,
,"2,454,398"
,
,"83,296"
,Emissions (tCO2e),
,Scope 1
Emissions from combustion of gas,20.88
,Scope 2
"Emissions from purchased electricity (location+
based)",572.22
,Scope 3
"Emissions from business travel in rental cars
or employee-owned vehicles where company
is responsible for purchasing the fuel",,
Total gross emissions based on above,,593.39
Renewable energy emissions reduction,,
Total net emissions,,593.39
Intensity ratio: tCO2e gross/1000 m2,,234.80
